"Source:","/Volumes/Public/Projects/KiCAD PCBs/H1_RF2_C/H1_RF2_C.kicad_sch"
"Date:","2026-04-18T14:53:34"
"Tool:","Eeschema 9.99.0-5271-ge2e5514f9b"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","34"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C3, C7, C9, C14, C19","6","22p","C","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor","",""
"C2","1","100p","C","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","Unpolarized capacitor","",""
"C4, C10, C15","3","10p","C","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor","",""
"C5, C12, C17","3","1u","C","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor","",""
"C6, C13, C18","3","100p","C","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor","",""
"C8, C11, C16","3","0.1u","C","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor","",""
"FL1","1","SYBP-1420+","SYBP-1420+","Bob:PL-308","Band Pass Filter 1250 to 1560 MHz","",""
"J1","1","Antenna","Antenna","Bob:SMA_WIDE_GND_EdgeMount_Small","Antenna","",""
"J2","1","SMA","Conn_Coaxial_Small","Bob:SMA_WIDE_GND_EdgeMount_Small","small coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)","",""
"J11","1","Conn_01x04_Pin","Conn_01x05_Pin","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","Generic connector, single row, 01x05, script generated","",""
"L1, L2, L3","3","18n","L","Inductor_SMD:L_0402_1005Metric","Inductor","",""
"R3","1","50","R","Resistor_SMD:R_0402_1005Metric","Resistor","",""
"R4, R5, R6","3","3.32K","R","Resistor_SMD:R_0402_1005Metric","Resistor","",""
"U1","1","JSW2-63VHDRG+","JSW2-63VHDRG+","Bob:MT2140_With_polygons_custompads","SPDT RF Switch Insuration loss 0.4 dB @ 3G","",""
"U2, U3, U4","3","QPL9547","QPL9547","Package_DFN_QFN:DFN-8-1EP_2x2mm_P0.5mm_EP0.8x1.6mm","100-6000MHz RF/IF +19.5dB gain block, DFN-8","",""
